StaffNo,Share,year,percentage
JP0449,0.00,2025,25
JP0450,0.00,2025,25
JP0451,0.00,2025,25
JP0452,0.00,2025,25
JP0453,0.00,2025,25
JP0454,0.00,2025,25
JP0455,0.00,2025,25
JP0456,0.00,2025,25
JP0457,0.00,2025,25
JP0464,0.00,2025,25
JP0466,0.00,2025,25
JP0468,0.00,2025,25
JP0476,0.00,2025,25
SP0002,61058.80,2025,25
SP0005,0.00,2025,25
SP0006,10000.00,2025,25
SP0008,98280.67,2025,25
SP0009,1077406.73,2025,25
SP0011,0.00,2025,25
SP0013,194000.00,2025,25
SP0015,95509.87,2025,25
SP0017,384750.93,2025,25
SP0024,45962.10,2025,25
SP0027,30202.58,2025,25
SP0029,400809.54,2025,25
SP0033,231154.52,2025,25
SP0038,212894.51,2025,25
SP0040,87211.76,2025,25
SP0041,126540.35,2025,25
SP0042,648328.55,2025,25
SP0043,55105.88,2025,25
SP0044,374292.92,2025,25
SP0057,104126.40,2025,25
SP0059,88885.33,2025,25
SP0060,505274.03,2025,25
SP0062,344616.14,2025,25
SP0068,256616.74,2025,25
SP0071,97875.56,2025,25
SP0072,10000.00,2025,25
SP0073,58028.91,2025,25
SP0075,289760.70,2025,25
SP0077,10000.00,2025,25
SP0079,67325.38,2025,25
SP0081,308077.75,2025,25
SP0082,50567.69,2025,25
SP0084,10000.00,2025,25
SP0085,400000.00,2025,25
SP0086,201192.62,2025,25
SP0087,24471.19,2025,25
SP0089,68490.53,2025,25
SP0093,103807.78,2025,25
SP0094,26442.67,2025,25
SP0096,97308.07,2025,25
SP0098,34144.76,2025,25
SP0099,166392.58,2025,25
SP0100,62609.79,2025,25
SP0101,427441.94,2025,25
SP0105,12163.51,2025,25
SP0106,131009.96,2025,25
SP0107,161442.67,2025,25
SP0108,14000.00,2025,25
SP0110,10000.00,2025,25
SP0114,1095791.51,2025,25
SP0119,177769.22,2025,25
SP0120,104195.27,2025,25
SP0121,95657.85,2025,25
SP0124,204288.93,2025,25
SP0126,155606.17,2025,25
SP0127,222119.71,2025,25
SP0128,60038.68,2025,25
SP0129,0.00,2025,25
SP0130,198967.15,2025,25
SP0131,163509.67,2025,25
SP0133,22634.89,2025,25
SP0135,98000.00,2025,25
SP0136,167336.98,2025,25
SP0137,91000.20,2025,25
SP0140,122759.92,2025,25
SP0141,53461.61,2025,25
SP0143,232885.33,2025,25
SP0145,71000.00,2025,25
SP0146,37173.67,2025,25
SP0148,583750.74,2025,25
SP0149,169702.09,2025,25
SP0150,152500.49,2025,25
SP0151,35000.00,2025,25
SP0153,21000.00,2025,25
SP0155,439375.86,2025,25
SP0156,124279.16,2025,25
SP0157,79445.88,2025,25
SP0158,0.00,2025,25
SP0160,33279.35,2025,25
SP0163,31202.39,2025,25
SP0164,137529.52,2025,25
SP0165,89137.74,2025,25
SP0166,80702.09,2025,25
SP0167,306895.36,2025,25
SP0168,29000.00,2025,25
SP0169,94076.97,2025,25
SP0170,42769.29,2025,25
SP0171,309821.80,2025,25
SP0172,215122.66,2025,25
SP0179,126192.62,2025,25
SP0180,62461.81,2025,25
SP0181,139682.95,2025,25
SP0182,219385.04,2025,25
SP0184,641078.93,2025,25
SP0188,11250.25,2025,25
SP0189,29904.28,2025,25
SP0192,82865.60,2025,25
SP0194,0.00,2025,25
SP0196,34000.00,2025,25
SP0198,1078174.84,2025,25
SP0199,176798.40,2025,25
SP0200,102509.67,2025,25
SP0201,30484.10,2025,25
SP0202,249494.26,2025,25
SP0203,0.00,2025,25
SP0204,0.00,2025,25
SP0205,41028.91,2025,25
SP0206,113534.91,2025,25
SP0207,10211.56,2025,25
SP0208,56028.91,2025,25
SP0210,110817.54,2025,25
SP0213,20298.30,2025,25
SP0214,78558.31,2025,25
SP0220,164490.72,2025,25
SP0221,283086.93,2025,25
SP0222,37230.45,2025,25
SP0225,10000.00,2025,25
SP0226,57750.34,2025,25
SP0227,125144.56,2025,25
SP0228,113327.21,2025,25
SP0229,10000.00,2025,25
SP0230,147231.10,2025,25
SP0231,27913.85,2025,25
SP0232,39298.30,2025,25
SP0234,233275.49,2025,25
SP0236,132577.26,2025,25
SP0237,247009.91,2025,25
SP0238,32163.51,2025,25
SP0239,29000.00,2025,25
SP0241,72244.33,2025,25
SP0243,15000.00,2025,25
SP0245,135481.54,2025,25
SP0249,97750.54,2025,25
SP0250,62058.02,2025,25
SP0251,12983.01,2025,25
SP0254,108471.77,2025,25
SP0255,382597.19,2025,25
SP0258,197250.44,2025,25
SP0259,2100000.00,2025,25
SP0260,19000.00,2025,25
SP0262,72086.93,2025,25
SP0265,43019.47,2025,25
SP0267,0.00,2025,25
SP0268,0.00,2025,25
SP0269,72933.19,2025,25
SP0270,54365.50,2025,25
SP0271,0.00,2025,25
